judul;tanggal;penulis;isi_;url
FOTO: Guratan Raksasa Wajah Ganjar-Mahfud di Sawah Ungaran Jateng;;ANTARA |  CNN Indonesia;;https://www.cnnindonesia.com/nasional/20240130095924-619-1056033/foto-guratan-raksasa-wajah-ganjar-mahfud-di-sawah-ungaran-jateng
Cak Imin: Kepemimpinan Lalai Kok Mau Dilanjutkan?;Selasa, 30 Jan 2024;CNN Indonesia;Calon wakil presiden nomor urut 1 Muhaimin Iskandar alias Cak Imin menyinggung kepemimpinan yang lalai dalam kampanye akbar di Tegal, Jawa Tengah.;https://www.cnnindonesia.com/nasional/20240130121504-617-1056115/cak-imin-kepemimpinan-lalai-kok-mau-dilanjutkan
Polda Metro Jaya Sebut 1.548 TPS Rawan, 53 Sangat Rawan;Selasa, 30 Jan 2024;CNN Indonesia;Polda Metro Jaya bakal melakukan pengamanan di 65.459 tempat pemungutan suara (TPS) yang tersebar di wilayah Jakarta dan sekitarnya saat hari pemungutan suara Pemilu 2024.;https://www.cnnindonesia.com/nasional/20240130101501-617-1056047/polda-metro-jaya-sebut-1548-tps-rawan-53-sangat-rawan
Jadwal Hari Pencoblosan Pemilu 2024 RI di Luar Negeri;Selasa, 30 Jan 2024;CNN Indonesia;Komisi Pemilihan Umum (KPU) menetapkan jadwal pemungutan suara Pemilu 2024 di luar negeri pada 5 sampai 14 Februari 2024.;https://www.cnnindonesia.com/nasional/20240130104814-617-1056065/jadwal-hari-pencoblosan-pemilu-2024-ri-di-luar-negeri
Anies dan Cak Imin Kampanye Akbar di Tegal Hari Ini;Selasa, 30 Jan 2024;CNN Indonesia;Calon presiden dan calon wakil presiden Anies Baswedan-Muhaimin Iskandar alias Cak Imin berduet dalam kampanye akbar di Tegal, Jawa Tengah.;https://www.cnnindonesia.com/nasional/20240130104332-617-1056062/anies-dan-cak-imin-kampanye-akbar-di-tegal-hari-ini
Alarm PDIP Jaga 'Kandang Banteng' di tengah Gempuran Kunjungan Jokowi;Selasa, 30 Jan 2024;CNN Indonesia;Jelang hari pencoblosan pada 14 Februari 2024, manuver politik pasangan calon nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka dan kegiatan Presiden Joko Widodo (Jokowi) di Jawa Tengah dinilai jadi alarm keras buat PDIP.;https://www.cnnindonesia.com/nasional/20240130101434-617-1056044/alarm-pdip-jaga-kandang-banteng-di-tengah-gempuran-kunjungan-jokowi
Polda Metro Terjunkan 11.385 Personel Amankan TPS Saat Pencoblosan;Selasa, 30 Jan 2024;CNN Indonesia;Sebanyak 11.385 personel Polda Metro Jaya diterjunkan untuk melakukan pengamanan di tempat pemungutan suara (TPS) di wilayah Jakarta dan sekitarnya pada Pemilu 2024.;https://www.cnnindonesia.com/nasional/20240130094352-617-1056031/polda-metro-terjunkan-11385-personel-amankan-tps-saat-pencoblosan
TPN Ganjar-Mahfud Sebut Jokowi Sudah Kampanye Terselubung;Selasa, 30 Jan 2024;CNN Indonesia;Tim Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud MD menyebut Presiden Jokowi telah melakukan kampanye terselubung di Pilpres 2024.;https://www.cnnindonesia.com/nasional/20240130091549-617-1056040/tpn-ganjar-mahfud-sebut-jokowi-sudah-kampanye-terselubung
Istana Respons Sentilan JK soal Jokowi yang Sudah Berubah;Selasa, 30 Jan 2024;CNN Indonesia;Koordinator Staf Khusus Presiden Ari Dwipayana menyatakan Presiden Joko Widodo (Jokowi) tak terlalu memusingkan kritik yang dilayangkan sejumlah tokoh bangsa kepada pemerintah, tak terkecuali sentilan dari Jusuf Kalla.;https://www.cnnindonesia.com/nasional/20240130093836-32-1056027/istana-respons-sentilan-jk-soal-jokowi-yang-sudah-berubah
Anggota KPU di Sumut Janjikan 1000 Suara untuk Caleg, Mahar Rp50 Juta;Selasa, 30 Jan 2024;CNN Indonesia;Komisioner KPU Kota Padangsidimpuan, Sumatera Utara, Parlagutan Harahap (PH) ditahan dalam kasus dugaan pemerasan terhadap salah seorang calon legislatif.;https://www.cnnindonesia.com/nasional/20240130081532-617-1056011/anggota-kpu-di-sumut-janjikan-1000-suara-untuk-caleg-mahar-rp50-juta
Gibran Klaim Getarkan Kandang Banteng Usai Kampanye di Jawa Tengah;Selasa, 30 Jan 2024;CNN Indonesia;Cawapres nomor urut 2 Gibran Rakabuming Raka mengaku telah menggetarkan Jawa Tengah (Jateng) yang dikenal sebagai Kandang Banteng.;https://www.cnnindonesia.com/nasional/20240130084550-617-1056015/gibran-klaim-getarkan-kandang-banteng-usai-kampanye-di-jawa-tengah
TPN Ganjar: Pak Jokowi Setiap Hari Kampanye untuk Prabowo-Gibran;Selasa, 30 Jan 2024;CNN Indonesia;Tim Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud MD mengatakan publik tidak perlu repot untuk mempertanyakan kapan Presiden Joko Widodo mengajukan cuti untuk berkampanye.;https://www.cnnindonesia.com/nasional/20240130082043-617-1056010/tpn-ganjar-pak-jokowi-setiap-hari-kampanye-untuk-prabowo-gibran
Tom Lembong Dilaporkan ke Bawaslu Atas Dugaan Unggah Pasal Palsu;Selasa, 30 Jan 2024;CNN Indonesia;Advokat Lingkar Nusantara (Advokat Lisan) melaporkan Co-Captain Timnas AMIN Thomas Trikasih Lembong atau Tom Lembong ke Bawaslu atas dugaan unggahan pasal palsu terkait UU Pemilu yang mengatur hak presiden berkampanye.;https://www.cnnindonesia.com/nasional/20240130072703-617-1056001/tom-lembong-dilaporkan-ke-bawaslu-atas-dugaan-unggah-pasal-palsu
VIDEO: Elektablitas Anies, Prabowo, Ganjar Seluruh Indonesia Terbaru;Selasa, 30 Jan 2024;CNN Indonesia |  CNN Indonesia;Lembaga-lembaga survei merilis elektabilitas para peserta Pilpres 2024 beserta sebarannya di berbagai daerah di Indonesia per Januari 2024.;https://www.cnnindonesia.com/nasional/20240129172230-621-1055859/video-elektablitas-anies-prabowo-ganjar-seluruh-indonesia-terbaru
Ramai Jelang Pilpres 2024, Apa Itu Gerakan Salam 4 Jari?;Selasa, 30 Jan 2024;CNN Indonesia;Gerakan salam 4 jari viral di media sosial X dan Instagram. Gerakan atau kampanye tersebut diinisiasi oleh Presidium Nasional Partai Hijau Indonesia John Muhammad.;https://www.cnnindonesia.com/nasional/20240130064916-617-1055993/ramai-jelang-pilpres-2024-apa-itu-gerakan-salam-4-jari
TPN Ganjar Sebut Salam 4 Jari Simbol Komunikasi Politik;Selasa, 30 Jan 2024;CNN Indonesia;Dewan Penasihat Tim Pemenangan Nasional (TPN) paslon Pilpres 2024 nomor urut 3 Ganjar Pranowo-Mahfud MD, Yenny Wahid menganggap kampanye salam empat jari yang ramai di media sosial belakang merupakan simbol komunikasi politik.;https://www.cnnindonesia.com/nasional/20240129205440-617-1055932/tpn-ganjar-sebut-salam-4-jari-simbol-komunikasi-politik
Cak Imin dan Timnas AMIN Respons Positif Gerakan Salam 4 Jari;Selasa, 30 Jan 2024;rzr, pop |  CNN Indonesia;Cawapres nomor urut 1 Muhaimin Iskandar (Cak Imin) dan anggota tim pemenangan dirinya, Timnas AMIN, merespons positif soal ekspresi salam 4 jari yang muncul di sela kegiatan Pilpres 2024.;https://www.cnnindonesia.com/nasional/20240129201645-617-1055917/cak-imin-dan-timnas-amin-respons-positif-gerakan-salam-4-jari
Rumah Relawan Prabowo-Gibran di Sumenep Dirusak Orang Tak Dikenal;Selasa, 30 Jan 2024;CNN Indonesia;Rumah milik Ketua Relawan Prabowo-Gibran, Sulaisi Abdurrazaq di Desa Ketawang Laok, Kabupaten Sumenep, Jawa Timur, dirusak orang tak dikenal, Senin (29/1) dini hari. Tak hanya itu, sepeda motor miliknya dibakar.;https://www.cnnindonesia.com/nasional/20240130062755-12-1055987/rumah-relawan-prabowo-gibran-di-sumenep-dirusak-orang-tak-dikenal
Surya Paloh Sebut Ada Indikasi Pemilu 2024 Tidak Berjalan Jurdil;Selasa, 30 Jan 2024;CNN Indonesia;Ketua umum Partai NasDem, Surya Paloh menyebut ada indikasi Pemilu 2024 bakal berjalan tidak jujur dan adil (jurdil).;https://www.cnnindonesia.com/nasional/20240129165715-617-1055849/surya-paloh-sebut-ada-indikasi-pemilu-2024-tidak-berjalan-jurdil
Anggota Komisi II DPR Akui Aturan Presiden Boleh Kampanye Ambigu;Selasa, 30 Jan 2024;CNN Indonesia;Anggota Komisi II DPR Guspardi Gaus menilai dua pasal dalam UU Nomor 7 Tahun 2017 tentang Pemilu yang mengatur presiden boleh berkampanye ambigu.;https://www.cnnindonesia.com/nasional/20240129191704-617-1055896/anggota-komisi-ii-dpr-akui-aturan-presiden-boleh-kampanye-ambigu
Kaesang Bagikan Kaos Pecinta Samsul Indonesia di Makassar;Selasa, 30 Jan 2024;CNN Indonesia;Ketua Umum Partai Solidaritas Indonesia (PSI) Kaesang Pangarep membagikan kaos bertuliskan Pecinta Samsul Indonesia saat kampanye di Makassar, Sulawesi Selatan, Senin (29/1).;https://www.cnnindonesia.com/nasional/20240129204430-617-1055925/kaesang-bagikan-kaos-pecinta-samsul-indonesia-di-makassar
Anies Minta Pendukung Ramai-ramai Jaga TPS, Kawal Perhitungan Suara;Selasa, 30 Jan 2024;CNN Indonesia;Capres nomor urut 1 Anies Baswedan meminta kepada para pendukungnya untuk tidak sekadar mencoblos pada 14 Februari mendatang.;https://www.cnnindonesia.com/nasional/20240129130137-617-1055681/anies-minta-pendukung-ramai-ramai-jaga-tps-kawal-perhitungan-suara
Ganjar Buka Suara Usai Guntur Bilang Jokowi Diapain Nanti Terserah;Selasa, 30 Jan 2024;tim |  CNN Indonesia;Calon presiden (capres) nomor urut 3 Ganjar Pranowo buka suara usai pernyataan Guntur Soekarnoputra tentang nasib Presiden Joko Widodo (Jokowi) apabila Ganjar dan Mahfud Md menang di Pilpres 2024.;https://www.cnnindonesia.com/nasional/20240130041126-617-1055978/ganjar-buka-suara-usai-guntur-bilang-jokowi-diapain-nanti-terserah
TPN: Silakan Jokowi Kalau Mau Bantu Kampanye Putranya, tapi Cuti Dulu;Selasa, 30 Jan 2024;tim |  CNN Indonesia;Dewan Penasihat Tim Pemenangan Nasional (TPN) Ganjar-Mahfud, Yenny Wahid angkat suara soal pertemuan Presiden Joko Widodo atau Jokowi dengan capres nomor urut 2, Prabowo Subianto di Magelang, Jawa Tengah, Senin (29/1).;https://www.cnnindonesia.com/nasional/20240130032729-617-1055975/tpn-silakan-jokowi-kalau-mau-bantu-kampanye-putranya-tapi-cuti-dulu
KPU Ubah Jadwal Pencoblosan di Jeddah Jadi 9 Februari 2024;Selasa, 30 Jan 2024;tim |  CNN Indonesia;Komisi Pemilihan Umum (KPU) mengubah hari pemungutan suara di Tempat Pemungutan Suara Luar Negeri (TPSLN) Perwakilan Republik Indonesia di Jeddah, Arab Saudi untuk Pemilu 2024.;https://www.cnnindonesia.com/nasional/20240130014722-617-1055959/kpu-ubah-jadwal-pencoblosan-di-jeddah-jadi-9-februari-2024
Yenny Wahid Harap PBNU Netral: Demi Jaga Suhu di Masyarakat;Selasa, 30 Jan 2024;CNN Indonesia;Putri presiden keempat RI Abdurrahman Wahid, Zannuba Ariffah Chafsoh alias Yenny Wahid berharap Pengurus Besar Nahdlatul Ulama (PBNU) tetap menjaga netralitasnya selama gelaran Pilpres 2024.;https://www.cnnindonesia.com/nasional/20240126161221-617-1054848/yenny-wahid-harap-pbnu-netral-demi-jaga-suhu-di-masyarakat
Jokowi Akui Kaesang Suka Ajak Kampanye Keliling Daerah untuk Pilpres;Senin, 29 Jan 2024;CNN Indonesia;Presiden RI Joko Widodo (Jokowi) mengaku putra bungsunya yang juga Ketum PSI, Kaesang Pangarep kerap mengajak untuk berkampanye di Pilpres 2024.;https://www.cnnindonesia.com/nasional/20240129195110-617-1055903/jokowi-akui-kaesang-suka-ajak-kampanye-keliling-daerah-untuk-pilpres
Prabowo Akan Sasar Guru di Program Makan Siang Gratis: Perbaikan Gizi;Senin, 29 Jan 2024;tim |  CNN Indonesia;Calon presiden nomor urut 2, Prabowo Subianto menyebut program makan siang gratis bukan hanya untuk anak-anak, melainkan juga menyasar kalangan guru di Indonesia.;https://www.cnnindonesia.com/nasional/20240129221635-617-1055942/prabowo-akan-sasar-guru-di-program-makan-siang-gratis-perbaikan-gizi
Tom Lembong Curhat Tak Nyaman Diviralkan: Saya Sebetulnya Introvert;Senin, 29 Jan 2024;tim |  CNN Indonesia;Co-Captain Timnas Anies Baswedan-Muhaimin Iskandar (AMIN) Thomas Lembong atau akrab disapa Tom Lembong mengaku tak nyaman ketika dirinya viral belakangan ini.;https://www.cnnindonesia.com/nasional/20240129213626-617-1055937/tom-lembong-curhat-tak-nyaman-diviralkan-saya-sebetulnya-introvert
Ganjar Pranowo Siap Bakar Semangat Arek-arek Malang di Kampanye Akbar;Senin, 29 Jan 2024;Info Politik |  CNN Indonesia;Calon Presiden (Capres) nomor urut tiga, Ganjar Pranowo, akan melakukan Kampanye Akbar di Lapangan Kedung Kandang, Kabupaten Malang, Jawa Timur, Selasa (30/1). Kampanye ini akan menjadi ajang konsolidasi Tim Pemenangan Daerah Ganjar-Mahfud Jawa Timur hingga ke akar rumput.;https://www.cnnindonesia.com/nasional/20240129210243-633-1055931/ganjar-pranowo-siap-bakar-semangat-arek-arek-malang-di-kampanye-akbar
Gibran Mau Hapus Kartu Tani Demi Subsidi Pupuk Tepat Sasaran;Senin, 29 Jan 2024;CNN Indonesia;Calon wakil presiden nomor urut 2 Gibran Rakabuming Raka berencana menghapus program Kartu Tani. Ia berpendapat subsidi pupuk lewat kartu tersebut tak tepat sasaran dan malah menyulitkan petani.;https://www.cnnindonesia.com/nasional/20240129204101-617-1055922/gibran-mau-hapus-kartu-tani-demi-subsidi-pupuk-tepat-sasaran
Nusron TKN: Kalau Prabowo-Gibran Menang, yang Lain Tidak Diapa-apain;Senin, 29 Jan 2024;CNN Indonesia;Sekretaris TKN Prabowo-Gibran, Nusron Wahid mengatakan akan seluruh lawan politik akan diajak rekonsiliasi usai Pilpres 2024 rampung.;https://www.cnnindonesia.com/nasional/20240129210818-617-1055934/nusron-tkn-kalau-prabowo-gibran-menang-yang-lain-tidak-diapa-apain
Istana soal Wacana Jokowi Temui PDIP-NasDem: Belum Diundang Saja;Senin, 29 Jan 2024;CNN Indonesia;Koordinator Staf Khusus Presiden Ari Dwipayana memastikan Presiden RI Joko Widodo (Jokowi) tetap membuka pintu komunikasi dengan seluruh parpol maupun tokoh bangsa yang ada di Indonesia.;https://www.cnnindonesia.com/nasional/20240129163000-32-1055869/istana-soal-wacana-jokowi-temui-pdip-nasdem-belum-diundang-saja
Guntur: Jika Ganjar-Mahfud Menang, Jokowi Diapain Nanti Terserah;Senin, 29 Jan 2024;CNN Indonesia;Putra pertama Sukarno, Guntur Soekarnoputra meminta para relawan Ganjar Pranowo-Mahfud MD bekerja serius di Pilpres 2024 demi meraih kemenangan.;https://www.cnnindonesia.com/nasional/20240129202113-617-1055912/guntur-jika-ganjar-mahfud-menang-jokowi-diapain-nanti-terserah
Masinton PDIP Cuitkan Tagar #AMINAjaDulu dan #GanjarMahfud2024;Senin, 29 Jan 2024;CNN Indonesia;Politikus PDIP Masinton Pasaribu mencuitkan di akun X miliknya berisi ajakan menjaga demokrasi di Indonesia disertai tagar #GanjarMahfud2024 dan #AMINAjaDulu.;https://www.cnnindonesia.com/nasional/20240129175449-617-1055876/masinton-pdip-cuitkan-tagar-aminajadulu-dan-ganjarmahfud2024
Anies Teken Kontrak dengan Jejaring Rakyat Miskin Kota, Janjikan 7 Hal;Senin, 29 Jan 2024;CNN Indonesia;Calon presiden nomor urut 1 Anies Baswedan menandatangani kontrak politik dengan Jejaring Rakyat Miskin Kota (Jerami) dan Urban Poor Consortium (UPC).;https://www.cnnindonesia.com/nasional/20240129201321-617-1055909/anies-teken-kontrak-dengan-jejaring-rakyat-miskin-kota-janjikan-7-hal
Kampanye di Ambon, Ganjar Mau Bangun SMK Gratis untuk Keluarga Miskin;Senin, 29 Jan 2024;CNN Indonesia;Calon presiden nomor urut 3 Ganjar Pranowo akan membangun SMK gratis khusus untuk keluarga miskin di Maluku.;https://www.cnnindonesia.com/nasional/20240129200031-617-1055906/kampanye-di-ambon-ganjar-mau-bangun-smk-gratis-untuk-keluarga-miskin
TKN Prabowo-Gibran Bagi-bagi 300 Becak Listrik di Madiun;Senin, 29 Jan 2024;CNN Indonesia;Tim Kampanye Nasional (TKN) paslon Pilpres 2024 nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka bagi-bagi 300 becak listrik gratis kepada penarik becak yang tergabung dalam Paguyuban Becak Madiun dan sekitarnya di Lapangan Gulun Kota Madiun, Jawa Timur, Senin (29/1).;https://www.cnnindonesia.com/nasional/20240129195925-617-1055905/tkn-prabowo-gibran-bagi-bagi-300-becak-listrik-di-madiun
Respons Anies dan Cak Imin Usai Jokowi Makan Bakso Bareng Prabowo;Senin, 29 Jan 2024;CNN Indonesia;Calon presiden nomor urut 1 Anies Baswedan merespons momen Menteri Pertahanan Prabowo Subianto makan siang bersama Presiden Joko Widodo (Jokowi) di Magelang, Jawa Tengah, Senin (29/1). Ia berharap bakso yang disantap Prabowo dan Jokowi enak.;https://www.cnnindonesia.com/nasional/20240129191223-617-1055893/respons-anies-dan-cak-imin-usai-jokowi-makan-bakso-bareng-prabowo
Anies Dengar Bus-bus Pendukung ke JIS 10 Februari Dibatalkan Sepihak;Senin, 29 Jan 2024;CNN Indonesia;Calon presiden nomor urut 1 Anies Baswedan mengaku mendengar ada banyak bus-bus yang rencananya akan mengangkut para pendukungnya yang hendak hadiri kampanye akbar terakhir Pilpres 2024 di Jakarta International Stadium (JIS) pada 10 Februari mendatang dibatalkan sepihak.;https://www.cnnindonesia.com/nasional/20240129190953-617-1055892/anies-dengar-bus-bus-pendukung-ke-jis-10-februari-dibatalkan-sepihak
Ganjar-Mahfud Akhiri Kampanye di Solo, Megawati Dijadwalkan Hadir;Senin, 29 Jan 2024;CNN Indonesia;Pasangan calon nomor urut 3 Ganjar Pranowo-Mahfud MD bakal menggelar kampanye akbar terakhir di Solo, Jawa Tengah pada 10 Februari mendatang.;https://www.cnnindonesia.com/nasional/20240129184058-617-1055888/ganjar-mahfud-akhiri-kampanye-di-solo-megawati-dijadwalkan-hadir
Istana Bantah Jokowi Buntuti Kampanye Ganjar di Jateng dan DIY;Senin, 29 Jan 2024;CNN Indonesia;Koordinator Staf Khusus Presiden Ari Dwipayana membantah dugaan kunjungan kerja (kunker) Presiden RI Joko Widodo (Jokowi) ke Jawa Tengah dan DI Yogyakarta belakangan untuk membuntuti agenda kampanye Ganjar Pranowo.;https://www.cnnindonesia.com/nasional/20240129173111-617-1055863/istana-bantah-jokowi-buntuti-kampanye-ganjar-di-jateng-dan-diy
Surya Paloh: AMIN Bisa Masuk Pilpres Putaran Kedua Sudah Bagus;Senin, 29 Jan 2024;CNN Indonesia;Ketua umum Partai NasDem Surya Paloh mengatakan pencapaian yang bagus jika capres-cawapres nomor urut 2 Anies Baswedan-Muhaimin Iskandar lolos ke putaran kedua Pilpres 2024.;https://www.cnnindonesia.com/nasional/20240129164917-617-1055845/surya-paloh-amin-bisa-masuk-pilpres-putaran-kedua-sudah-bagus
Gus Miftah Ajak Pilih Pemimpin yang Hartanya Cukup: Agar Tak Korupsi;Senin, 29 Jan 2024;CNN Indonesia;Ketua Dewan Pembina Relawan GM (Gerakan Masyarakat) 08, KH Miftah Maulana Habiburokhman alias Gus Miftah berpesan kepada para pemilih untuk memilih calon pemimpin yang memiliki harta kekayaan yang cukup.;https://www.cnnindonesia.com/nasional/20240129165831-617-1055851/gus-miftah-ajak-pilih-pemimpin-yang-hartanya-cukup-agar-tak-korupsi
Anies Sindir Jokowi Tak Mampu Turunkan Angka Pengangguran Seperti SBY;Senin, 29 Jan 2024;CNN Indonesia;Capres nomor urut 1 Anies Baswedan mengkritik kinerja Presiden RI Joko Widodo (Jokowi) yang dalam dua periode mengabdi tidak mampu menurunkan angka pengangguran.;https://www.cnnindonesia.com/nasional/20240129160930-617-1055817/anies-sindir-jokowi-tak-mampu-turunkan-angka-pengangguran-seperti-sby
Gibran ke Perajin Batik Pekalongan, Janji Dorong Digital Marketing;Senin, 29 Jan 2024;CNN Indonesia;Calon wakil presiden (cawapres) Gibran Rakabuming Raka mengatakan mau mengedepankan pendekatan teknologi untuk pengembangan ekonomi kreatif. Ia pun menyampaikan perlu ada kurikulum digital marketing untuk Sekolah Menengah Kejuruan (SMK).;https://www.cnnindonesia.com/nasional/20240129164257-617-1055842/gibran-ke-perajin-batik-pekalongan-janji-dorong-digital-marketing
Anies Ingin Buat BPJS Ketenagakerjaan Khusus Ojek Online;Senin, 29 Jan 2024;CNN Indonesia;Capres nomor urut 1 Anies Baswedan ingin membuat BPJS ketenagakerjaan khusus untuk ojek online (ojol) jika dirinya terpilih sebagai presiden di Pilpres 2024 nanti.;https://www.cnnindonesia.com/nasional/20240129162658-617-1055835/anies-ingin-buat-bpjs-ketenagakerjaan-khusus-ojek-online
Momen Jokowi dan Prabowo Ajak Warga Swafoto Usai Makan Bakso;Senin, 29 Jan 2024;CNN Indonesia;Presiden RI Joko Widodo mengajak Menteri Pertahanan Prabowo Subianto berswafoto atau selfie dengan warga di Magelang, Jawa Tengah, Senin (29/1).;https://www.cnnindonesia.com/nasional/20240129134212-617-1055725/momen-jokowi-dan-prabowo-ajak-warga-swafoto-usai-makan-bakso
Kala Gibran dan Selvi Jadi Kasir Dadakan Sepatu Lokal di Solo;Senin, 29 Jan 2024;CNN Indonesia;Calon Wakil Presiden (Cawapres) nomor urut 2, Gibran Rakabuming Raka bersama istrinya, Selvi Ananda, menjadi kasir dadakan di pameran sepatu lokal, Aerostreet yang digelar di area Atrium, Solo Paragon Mall, Minggu (28/1) malam.;https://www.cnnindonesia.com/nasional/20240129113646-617-1055647/kala-gibran-dan-selvi-jadi-kasir-dadakan-sepatu-lokal-di-solo
Istana: Sampai Saat Ini Belum Ada Surat Pengunduran Diri Mahfud;Senin, 29 Jan 2024;CNN Indonesia;Koordinator Staf Khusus Presiden Ari Dwipayana mengatakan belum ada surat pengunduran diri yang diajukan Mahfud MD selaku Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) hingga Senin (29/1) ini.;https://www.cnnindonesia.com/nasional/20240129160859-32-1055815/istana-sampai-saat-ini-belum-ada-surat-pengunduran-diri-mahfud
VIDEO: Rhoma Irama Resmi Dukung Anies-Cak Imin di Pilpres 2024;Senin, 29 Jan 2024;CNN Indonesia |  CNN Indonesia;Pedangdut Rhoma Irama resmi mendeklarasikan dukungan kepada paslon Anies-Cak Imin di Pilpres 2024.;https://www.cnnindonesia.com/nasional/20240129160539-621-1055814/video-rhoma-irama-resmi-dukung-anies-cak-imin-di-pilpres-2024
Cak Imin Yakin Akar Rumput PPP Dukung AMIN di Pilpres;Senin, 29 Jan 2024;CNN Indonesia;Calon wakil presiden nomor urut 1 Muhaimin Iskandar alias Cak Imin mengklaim dapat dukungan dari akar rumput PPP khususnya di Yogyakarta.;https://www.cnnindonesia.com/nasional/20240129131229-617-1055697/cak-imin-yakin-akar-rumput-ppp-dukung-amin-di-pilpres
Jokowi Respons Omongan Prabowo Soal 'Tim Jokowi';Senin, 29 Jan 2024;CNN Indonesia;Presiden RI Joko Widodo (Jokowi) merespons pernyataan capres nomor urut 2, Prabowo Subianto yang menyebut ia dan Koalisi Indonesia Maju sebagai tim Jokowi.;https://www.cnnindonesia.com/nasional/20240129141730-617-1055749/jokowi-respons-omongan-prabowo-soal-tim-jokowi
Istana Respons Luhut Sebut Menteri Ditawari Mundur tapi Tak Mundur;Senin, 29 Jan 2024;CNN Indonesia;Koordinator Staf Khusus Presiden RI Ari Dwipayana mengatakan ucapan Menteri Koordinator bidang Maritim dan Investasi (Menko Marves) Luhut Binsar Pandjaitan hanya bersifat umum dan tak spesifik menyebut menteri tertentu yang diduga akan mundur dari kabinet.;https://www.cnnindonesia.com/nasional/20240129143143-32-1055760/istana-respons-luhut-sebut-menteri-ditawari-mundur-tapi-tak-mundur
Cak Imin Perkenalkan Tom Lembong Sebagai Rombongan NU;Senin, 29 Jan 2024;CNN Indonesia;"Calon wakil presiden nomor urut 1 Muhaimin Iskandar alias Cak Imin memperkenalkan Co-Captain Timnas AMIN Thomas Lembong atau akrab disapa Tom Lembong sebagai ""rombongan Nahdlatul Ulama"".";https://www.cnnindonesia.com/nasional/20240129135509-617-1055739/cak-imin-perkenalkan-tom-lembong-sebagai-rombongan-nu
VIDEO: Momen Jokowi-Prabowo Makan Bakso Bareng di Magelang;Senin, 29 Jan 2024;Naufal |  CNN Indonesia;Presiden Joko Widodo makan siang bersama Prabowo Subianto usai meresmikan Grha Utama Akademi Militer Magelang, Jawa Tengah, Senin (29/1).;https://www.cnnindonesia.com/nasional/20240129134223-621-1055722/video-momen-jokowi-prabowo-makan-bakso-bareng-di-magelang
Gus Mus: Urusan NU Menangkan Indonesia, Bukan Menangkan Capres;Senin, 29 Jan 2024;CNN Indonesia;adMustasyar Pengurus Besar Nahdlatul Ulama (PBNU) KH Ahmad Mustofa Bisri alias Gus Mus mengaku dirinya sempat merasa ketar-ketir ketika Rais Aam PBNU KH Miftachul Akhyar dan Ketua Umum PBNU KH Yahya Cholil Staquf menyampaikan sambutan dalam acara Harlah NU ke-101.;https://www.cnnindonesia.com/nasional/20240129133416-617-1055710/gus-mus-urusan-nu-menangkan-indonesia-bukan-menangkan-capres
VIDEO: Mahfud Luruskan Pernyataan Soal Ibu Lahirkan Anak Tak Berakhlak;Senin, 29 Jan 2024;CNN Indonesia |  CNN Indonesia;Cawapres no urut 3 Mahfud MD meluruskan pernyataannya soal melahirkan anak tak berakhlak yang jadi polemik di dunia maya.;https://www.cnnindonesia.com/nasional/20240129132255-621-1055705/video-mahfud-luruskan-pernyataan-soal-ibu-lahirkan-anak-tak-berakhlak
Jokowi Makan Bakso Bareng Prabowo di Magelang;Senin, 29 Jan 2024;CNN Indonesia;Presiden Joko Widodo makan siang bersama Menteri Pertahanan Prabowo Subianto usai meresmikan Grha Utama Akademi Militer Magelang, Jawa Tengah, Senin (29/1).;https://www.cnnindonesia.com/nasional/20240129131151-617-1055691/jokowi-makan-bakso-bareng-prabowo-di-magelang
Cak Imin: Jangan-jangan Opung Enggak Ngerti Mudarat Tambang;Senin, 29 Jan 2024;CNN Indonesia;Calon wakil presiden nomor urut 1 Muhaimin Iskandar alias Cak Imin menyindir Menteri Koordinator Bidang Maritim Investasi Luhut Binsar Pandjaitan soal hilirisasi industri tambang nikel.;https://www.cnnindonesia.com/nasional/20240129125559-617-1055676/cak-imin-jangan-jangan-opung-enggak-ngerti-mudarat-tambang
Bawaslu Jabar Panggil Ridwan Kamil Terkait Dugaan Pelanggaran Pemilu;Senin, 29 Jan 2024;CNN Indonesia;Bawaslu Jawa Barat menjadwalkan memeriksa Ketua Tim Kampaye Daerah (TKD) Prabowo-Gibran Jawa Barat, Ridwan Kamil terkait kasus dugaan pelanggaran pemilu di Tasikmalaya, Senin (29/1).;https://www.cnnindonesia.com/nasional/20240129122306-617-1055669/bawaslu-jabar-panggil-ridwan-kamil-terkait-dugaan-pelanggaran-pemilu
Mahfud Heran Lahan Pertanian Berkurang Tapi Subsidi Pupuk Naik;Senin, 29 Jan 2024;CNN Indonesia;Calon wakil presiden nomor urut 3, Mahfud MD merasa heran dengan kenaikan subsidi pupuk dari pemerintah sementara luas lahan pertanian terus menurun.;https://www.cnnindonesia.com/nasional/20240129114708-617-1055650/mahfud-heran-lahan-pertanian-berkurang-tapi-subsidi-pupuk-naik
